Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Jaylen Brown,50,34,20.4,7.6,15.4,49,2.1,5.6,38.1,3.2,4.3,73.6,1.1,5.3,6.4,2.2,1.1,0.3,2.3,19.1
Jimmy Butler,54,34.3,20.2,6.1,13.4,45.4,0.5,2.2,24.8,7.6,9.1,83.3,1.8,4.8,6.6,6.1,1.7,0.5,2.2,24.3
Bojan Bogdanovic,63,33.1,20.2,6.6,14.8,44.7,3,7.3,41.4,4,4.4,90.3,0.6,3.5,4.1,2.1,0.5,0.1,2.5,15.9
Nikola Jokic,65,32.3,20.2,7.9,14.9,52.8,1.1,3.5,31.4,3.4,4.1,81.3,2.4,7.8,10.2,6.9,1.2,0.7,3.1,28.2
Buddy Hield,64,32,19.8,7.1,16.6,42.9,3.8,9.7,39.5,1.8,2,85.5,0.9,3.9,4.8,3.1,0.9,0.3,2.3,16.8
Kyle Lowry,52,36.6,19.7,5.9,14.3,41.7,2.9,8.3,35.4,4.9,5.7,86.1,0.6,4.3,4.8,7.7,1.3,0.4,3,21.9
Jrue Holiday,55,34.9,19.6,7.7,16.9,45.2,2.1,5.9,35.7,2.2,3.1,70,1.3,3.6,4.9,6.9,1.7,0.8,2.9,20.7
Julius Randle,64,32.5,19.5,7.2,15.7,46,1,3.6,27.7,4,5.5,73.3,2.4,7.4,9.7,3.1,0.8,0.3,3,20.5
Nikola Vucevic,54,32.6,19.5,7.9,16.9,47,1.5,4.6,32.9,2.1,2.7,78.1,2.4,8.6,11,3.7,0.9,0.9,1.4,25
Tobias Harris,65,34.5,19.4,7.6,16.1,47.2,1.8,5,36.2,2.4,2.9,80.6,0.8,5.9,6.8,3.2,0.8,0.5,1.5,20
Shai Gilgeous-Alexander,63,35.1,19.3,7,14.8,47.3,1.2,3.5,35.1,4,5,80.1,0.7,5.4,6.1,3.3,1.1,0.7,1.9,19.8
Kristaps Porzingis,51,31.3,19.2,6.6,15.8,42,2.5,7.1,34.9,3.5,4.5,77.6,1.7,7.7,9.5,1.7,0.7,2.1,1.6,21.4
Danilo Gallinari,55,30.7,19.2,6,13.6,43.9,3,7.3,40.9,4.3,4.8,88.6,0.6,4.9,5.5,2.1,0.7,0.1,1.3,18.1
Dennis Schroder,63,31,19,7,15,46.8,1.9,5.1,38.1,3.1,3.7,83.9,0.3,3.4,3.7,4.1,0.7,0.2,2.5,16.6
LaMarcus Aldridge,53,33.1,18.9,7.4,15,49.3,1.2,3,38.9,3,3.6,82.7,1.9,5.5,7.4,2.4,0.7,1.6,1.4,21.4
Evan Fournier,61,31.7,18.8,6.7,14.2,47,2.7,6.7,40.6,2.8,3.4,82,0.3,2.3,2.6,3.2,1.1,0.2,2,15.8
Jamal Murray,55,32.8,18.8,7,15.4,45.5,1.9,5.5,34.5,2.9,3.2,89.3,0.8,3.2,3.9,4.8,1.2,0.3,2.3,18
T.J. Warren,61,32.5,18.7,7.5,14.2,52.9,1.1,3,37.5,2.5,3,81.2,1,3,4,1.4,1.1,0.4,1.3,17.1
Kelly Oubre Jr.,56,34.5,18.7,6.7,14.8,45.2,1.9,5.5,35.2,3.4,4.4,78,1.2,5.3,6.4,1.5,1.3,0.7,1.5,18.1
Lou Williams,60,29.3,18.7,6.1,14.7,41.6,1.8,4.9,36.3,4.6,5.4,86.3,0.5,2.6,3.1,5.7,0.7,0.2,2.9,16.1
Montrezl Harrell,63,27.8,18.6,7.5,12.9,58,0,0.3,0,3.7,5.6,65.8,2.6,4.5,7.1,1.7,0.6,1.1,1.7,20.1
Domantas Sabonis,62,34.8,18.5,7.4,13.7,54,0.3,1.1,25.4,3.5,4.8,72.3,3,9.4,12.4,5,0.8,0.5,2.7,26.8
Devonte' Graham,63,35.1,18.2,5.8,15.3,38.2,3.5,9.3,37.3,3,3.7,82,0.7,2.7,3.4,7.5,1,0.2,2.9,17.3
Derrick Rose,50,26,18.1,7.4,15.1,49,0.9,2.9,30.6,2.4,2.8,87.1,0.5,1.9,2.4,5.6,0.8,0.3,2.5,16.6
Terry Rozier,63,34.4,18,6.3,14.9,42.3,2.7,6.7,40.7,2.6,3,87.4,0.8,3.6,4.4,4.1,1,0.2,2.2,16.4
